fecha,Kind,Number,variable
2017-10-20,Observed,16.0,calls
2017-10-21,Observed,23.0,calls
2017-10-22,Observed,14.0,calls
2017-10-23,Observed,24.0,calls
2017-10-24,Observed,38.0,calls
2017-10-25,Observed,31.0,calls
2017-10-26,Observed,25.0,calls
2017-10-27,Observed,17.0,calls
2017-10-28,Observed,24.0,calls
2017-10-29,Observed,18.0,calls
2017-10-30,Observed,22.0,calls
2017-10-31,Observed,27.0,calls
2017-11-01,Observed,22.0,calls
2017-11-02,Observed,22.0,calls
2017-11-03,Observed,16.0,calls
2017-11-04,Observed,28.0,calls
2017-11-05,Observed,15.0,calls
2017-11-06,Observed,28.0,calls
2017-11-07,Observed,31.0,calls
2017-11-08,Observed,30.0,calls
2017-11-09,Observed,19.0,calls
2017-11-10,Observed,14.0,calls
2017-11-11,Observed,12.0,calls
2017-11-12,Observed,23.0,calls
2017-11-13,Observed,28.0,calls
2017-11-14,Observed,16.0,calls
2017-11-15,Observed,22.0,calls
2017-11-16,Observed,14.0,calls
2017-11-17,Observed,25.0,calls
2017-11-18,Observed,27.0,calls
2017-11-19,Observed,21.0,calls
2017-11-20,Observed,18.0,calls
2017-11-21,Observed,27.0,calls
2017-11-22,Observed,21.0,calls
2017-11-23,Observed,17.0,calls
2017-11-24,Observed,14.0,calls
2017-11-25,Observed,21.0,calls
2017-11-26,Observed,29.0,calls
2017-11-27,Observed,23.0,calls
2017-11-28,Observed,14.0,calls
2017-11-29,Observed,19.0,calls
2017-11-30,Observed,23.0,calls
2017-12-01,Observed,27.0,calls
2017-12-02,Observed,21.0,calls
2017-12-03,Observed,26.0,calls
2017-12-04,Observed,31.0,calls
2017-12-05,Observed,15.0,calls
2017-12-06,Observed,32.0,calls
2017-12-07,Observed,23.0,calls
2017-12-08,Observed,16.0,calls
2017-12-09,Observed,20.0,calls
2017-12-10,Observed,20.0,calls
2017-12-11,Observed,16.0,calls
2017-12-12,Observed,34.0,calls
2017-12-13,Observed,18.0,calls
2017-12-14,Observed,25.0,calls
2017-12-15,Observed,22.0,calls
2017-12-16,Observed,20.0,calls
2017-12-17,Observed,22.0,calls
2017-12-18,Observed,19.0,calls
2017-12-19,Observed,13.0,calls
2017-12-20,Observed,19.0,calls
2017-12-21,Observed,20.0,calls
